FixtureId,InningId,InningNumber,OverNumber,BattingPlayerId,NonStrikeBattingPlayerId,BallNumber,BowlerPlayerId,ShotAngle,ShotMagnitude,RunsScored,IsWicket,IsWide,IsNoBall,IsByes,IsLegByes,LengthTypeId,LineTypeId,BattingFeetId,BattingShotTypeId,BowlingDetailId,BowlingFromId,BowlingTypeId,BowlingHandId,BattingHandId,DecisionOfficialId,IsFreeHit,IsPowerPlay,IsBattingPowerPlay,IsFloodLit,IsReferred,OutcomeId,ReferralOutcomeId,TeamRuns,RunsByes,RunsConceded,RunsWide,RunsLegByes,FieldingPosition,TotalRuns
9606,10546,1,13,1029,3810,1,1637,281,89,1,0,0,0,0,0,5,0,0,14,0,1,2,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,22,68
9606,10546,1,13,3810,1029,2,1637,326,79,0,0,0,0,0,0,6,0,0,13,0,1,2,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,23,68
9606,10546,1,13,3810,1029,3,1637,244,88,0,0,0,0,0,0,5,0,0,2,0,1,2,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,21,68
9606,10546,1,13,3810,1029,4,1637,205,74,0,0,0,0,0,0,5,0,0,10,0,1,2,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,4,68
9606,10546,1,13,3810,1029,5,1637,201,91,1,0,0,0,0,0,2,0,0,2,5,1,2,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,4,68
9606,10546,1,13,1029,3810,6,1637,39,139,1,0,0,0,0,0,5,0,0,2,0,1,2,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,13,68
9606,10546,1,14,1029,3810,1,3806,3,102,0,0,0,0,0,1,5,0,0,13,0,1,1,1,1,243,0,0,0,0,0,0,0,0,0,0,0,1,34,68
9606,10546,1,14,3810,1029,2,3806,202,72,0,0,0,0,0,0,5,0,0,2,0,1,1,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,4,68
9606,10546,1,14,3810,1029,3,3806,333,9,0,0,0,0,0,0,6,0,0,8,0,1,1,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,28,68
9606,10546,1,14,3810,1029,4,3806,90,48,0,1,0,0,0,0,5,0,0,4,0,1,1,1,1,243,0,0,0,0,0,1,0,0,0,0,0,0,37,68
9606,10546,1,14,879,1029,5,3806,117,147,0,0,0,0,0,1,5,0,0,12,0,1,1,1,1,243,0,0,0,0,0,0,0,0,0,0,0,1,35,68
9606,10546,1,14,1029,879,6,3806,187,146,1,0,0,0,0,0,2,0,0,2,0,1,1,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,10,68
9606,10546,1,15,1029,879,1,1637,184,70,1,0,0,0,0,0,4,0,0,14,0,1,2,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,24,68
9606,10546,1,15,879,1029,2,1637,196,87,1,0,0,0,0,0,5,0,0,20,0,1,2,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,4,68
9606,10546,1,15,1029,879,3,1637,234,98,0,0,0,0,0,0,4,0,0,2,0,1,2,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,21,68
9606,10546,1,15,1029,879,4,1637,177,88,1,0,0,0,0,0,5,0,0,14,0,1,2,1,1,475,0,0,0,0,0,0,0,1,0,1,0,0,24,68
9606,10546,1,15,879,1029,5,1637,270,40,0,0,0,0,0,0,5,0,0,14,0,1,2,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,3,68
9606,10546,1,15,879,1029,6,1637,270,40,0,0,0,0,0,0,5,0,0,14,0,1,2,1,1,475,0,0,0,0,0,0,0,0,0,0,0,0,3,68
9606,10546,1,16,978,1029,4,3806,354,13,0,0,0,0,0,0,6,0,0,13,0,1,1,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,28,68
9606,10546,1,16,978,1029,5,3806,143,126,1,0,0,0,0,0,5,0,0,16,0,1,1,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,35,68
9606,10546,1,16,1029,978,6,3806,209,96,1,0,0,0,0,0,5,0,0,14,0,1,1,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,12,68
9606,10546,1,16,1029,879,1,3806,157,86,0,0,0,0,0,0,5,0,0,14,0,1,1,1,1,243,0,0,0,0,0,0,0,0,0,0,0,0,1,68
9606,10546,1,16,1029,879,2,3806,46,154,1,0,0,0,0,0,5,0,0,9,0,1,1,1,1,243,0,0,0,0,0,0,0,1,0,1,0,0,13,68
