InningNumber,OverNumber,BallNumber,IsWicket,IsWide,IsNoBall,IsByes,IsLegByes,IsFreeHit,IsPowerPlay,IsBattingPowerPlay,TeamRuns,RunsByes,RunsConceded,RunsWide,RunsLegByes,TotalRuns
2,5,2,0,0,0,0,0,0,1,0,4,0,4,0,0,78
2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,5,4,0,0,0,0,0,0,1,0,1,0,1,0,0,78
2,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,6,2,0,0,0,0,0,0,1,0,1,0,1,0,0,78
2,6,3,0,0,0,0,0,0,1,0,1,0,1,0,0,78
2,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,78
2,6,5,0,0,0,0,0,0,1,0,1,0,1,0,0,78
2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,7,3,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,7,5,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,8,2,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,8,3,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,8,4,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,8,5,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,9,3,0,0,0,0,0,0,0,0,4,0,4,0,0,78
2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,9,5,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,10,2,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,10,4,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,10,5,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,11,4,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,12,1,0,0,0,0,0,0,0,0,4,0,4,0,0,78
2,12,2,0,0,0,0,0,0,0,0,2,0,2,0,0,78
2,12,3,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,12,4,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,12,5,0,0,0,0,0,0,0,0,4,0,4,0,0,78
2,12,6,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,13,3,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,13,5,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,13,6,0,0,0,0,1,0,0,0,0,0,0,0,4,78
2,13,1,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,14,1,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,14,3,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,14,4,0,0,0,0,0,0,0,0,1,0,1,0,0,78
2,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,78
2,14,6,0,0,0,0,0,0,0,0,2,0,2,0,0,78
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,1,3,0,0,0,0,0,0,1,0,1,0,1,0,0,119
1,1,4,0,0,0,0,0,0,1,0,2,0,2,0,0,119
1,1,5,0,0,0,0,0,0,1,0,1,0,1,0,0,119
1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,3,1,0,0,0,0,0,0,1,0,6,0,6,0,0,119
1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,119
1,3,4,0,0,0,0,0,0,1,0,1,0,1,0,0,119
